Candidate,Score,,,,
Solution,0001,,0.995465985,0.99473732,0.996194651
Solution,0002,,0.995587257,0.994838848,0.996335667
Solution,0003,,0.995587257,0.994838848,0.996335667
Solution,0004,,0.995569799,0.994821054,0.996318544
Solution,0005,,0.994210056,0.993286991,0.99513312
Solution,0006,,0.995587257,0.994838848,0.996335667
Solution,0007,,0.995569799,0.994821054,0.996318544
Solution,0008,,0.995569799,0.994821054,0.996318544
Solution,0009,,0.994198563,0.993275368,0.995121758
Solution,0010,,0.993254105,0.992322696,0.994185514
Solution,0011,,0.993244059,0.992312571,0.994175548
Solution,0012,,0.99578148,0.995055486,0.996507473
Solution,0013,,0.995780494,0.995054366,0.996506622
Solution,0014,,0.995627014,0.994879102,0.996374926
Solution,0015,,0.99561938,0.994871233,0.996367527
Solution,0016,,0.995627014,0.994879102,0.996374926
Solution,0017,,0.994250142,0.993327465,0.995172819
Solution,0018,,0.995627014,0.994879102,0.996374926
Solution,0019,,0.99561938,0.994871233,0.996367527
Solution,0020,,0.994242508,0.993319645,0.99516537
Solution,0021,,0.99561938,0.994871233,0.996367527
Solution,0022,,0.993246459,0.99231487,0.994178047
Solution,0023,,0.993246373,0.992314783,0.994177964
Solution,0024,,0.995609568,0.994861322,0.996357814
Solution,0025,,0.995602019,0.994853541,0.996350497
Solution,0026,,0.994130095,0.993367522,0.994892668
Solution,0027,,0.994130095,0.993367522,0.994892668
Solution,0028,,0.992836316,0.991903176,0.993769457
Solution,0029,,0.994130095,0.993367522,0.994892668
Solution,0030,,0.993163425,0.992231205,0.994095646
Solution,0031,,0.995609568,0.994861322,0.996357814
Solution,0032,,0.995602019,0.994853541,0.996350497
Solution,0033,,0.994238661,0.993315855,0.995161468
Solution,0034,,0.995609568,0.994861322,0.996357814
Solution,0035,,0.994231113,0.993308123,0.995154102
Solution,0036,,0.995602019,0.994853541,0.996350497
Solution,0037,,0.993236425,0.992304757,0.994168093
Solution,0038,,0.993236425,0.992304757,0.994168093
Solution,0039,,0.995129991,0.994396352,0.99586363
Solution,0040,,0.995130284,0.994396655,0.995863912
Solution,0041,,0.995177629,0.994444716,0.995910541
Solution,0042,,0.994593268,0.993848021,0.995338516
Solution,0043,,0.994593561,0.993848324,0.995338799
Solution,0044,,0.994646993,0.99390255,0.995391436
Solution,0045,,0.995466278,0.994737623,0.996194933
Solution,0046,,0.995466278,0.994737623,0.996194933
Solution,0047,,0.995525302,0.994797602,0.996253002
Solution,0048,,0.995525302,0.994797602,0.996253002
Solution,0049,,0.995525794,0.994797992,0.996253596
Solution,0050,,0.994962132,0.994226431,0.995697833
