s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,AUC
2,1,0,-1,0,1,2,3,2,6,1,-1,0,1,0.9877905205 [0.986893815697-0.988687225402]
2,1,0,-1,0,1,2,3,2,6,2,-2,0,1,0.9884404108 [0.987292995201-0.989587826309]
2,1,0,-2,0,1,2,3,2,6,2,-2,0,1,0.9884404108 [0.987292995201-0.989587826309]
2,1,0,-1,0,1,2,3,2,6,2,-2,-1,1,0.9875811198 [0.986383740778-0.988778498739]
2,1,0,-2,-1,0,2,3,2,6,2,-2,0,1,0.9884404108 [0.987292995201-0.989587826309]
2,1,0,-2,-1,1,2,3,2,6,2,-2,0,1,0.9884404108 [0.987292995201-0.989587826309]
2,1,0,-2,0,1,2,3,2,6,2,-2,-1,1,0.9875811198 [0.986383740778-0.988778498739]
2,1,0,-2,-1,1,2,3,2,6,2,-2,-1,1,0.9875811198 [0.986383740778-0.988778498739]
2,1,0,-2,-1,0,2,3,2,6,2,-2,-1,1,0.9875811198 [0.986383740778-0.988778498739]
2,1,0,-2,-1,0,1,3,2,6,2,-2,0,1,0.9884404108 [0.987292995201-0.989587826309]
2,1,0,-2,-1,0,1,3,2,6,2,-2,-1,1,0.9875811198 [0.986383740778-0.988778498739]
2,1,0,-1,0,1,2,3,2,5,1,-1,0,2,0.9939776134 [0.993245196278-0.994710030494]
2,1,0,-1,0,1,2,3,2,4,1,-1,0,3,0.9954017764 [0.994680920444-0.996122632299]
2,1,0,-1,0,1,2,3,2,5,2,-2,0,2,0.9922588612 [0.991134363901-0.993383358460]
2,1,0,-1,0,1,2,3,2,4,2,-2,0,3,0.9933448118 [0.992222179497-0.994467444165]
2,1,0,-2,0,1,2,3,2,5,2,-2,0,2,0.9922588612 [0.991134363901-0.993383358460]
2,1,0,-2,-1,0,2,3,2,5,2,-2,0,2,0.9922588612 [0.991134363901-0.993383358460]
2,1,0,-2,-1,1,2,3,2,5,2,-2,0,2,0.9922588612 [0.991134363901-0.993383358460]
2,1,0,-2,0,1,2,3,2,4,2,-2,0,3,0.9933448118 [0.992222179497-0.994467444165]
2,1,0,-2,-1,0,2,3,2,4,2,-2,0,3,0.9933448118 [0.992222179497-0.994467444165]
2,1,0,-2,-1,1,2,3,2,4,2,-2,0,3,0.9933448118 [0.992222179497-0.994467444165]
2,1,0,-2,-1,0,1,3,2,5,2,-2,0,2,0.9922588612 [0.991134363901-0.993383358460]
2,1,0,-2,-1,0,1,3,2,4,2,-2,0,3,0.9933448118 [0.992222179497-0.994467444165]
2,1,0,-1,0,1,2,3,2,5,2,-2,-1,2,0.9913817131 [0.990204725590-0.992558700644]
2,1,0,-1,0,1,2,3,2,4,2,-2,-1,3,0.9924603564 [0.991284830387-0.993635882482]
2,1,0,-1,0,1,2,3,2,7,2,-2,-1,0,0.9692674828 [0.967743441438-0.970791524159]
2,1,0,-2,0,1,2,3,2,7,2,-2,-1,0,0.9692674828 [0.967743441438-0.970791524159]
2,1,0,-2,-1,0,2,3,2,7,2,-2,-1,0,0.9692674828 [0.967743441438-0.970791524159]
2,1,0,-2,-1,1,2,3,2,7,2,-2,-1,0,0.9692674828 [0.967743441438-0.970791524159]
2,1,0,-2,-1,0,1,3,2,7,2,-2,-1,0,0.9692674828 [0.967743441438-0.970791524159]
2,1,0,-2,0,1,2,3,2,5,2,-2,-1,2,0.9913817131 [0.990204725590-0.992558700644]
2,1,0,-2,0,1,2,3,2,4,2,-2,-1,3,0.9924603564 [0.991284830387-0.993635882482]
2,1,0,-2,-1,0,2,3,2,5,2,-2,-1,2,0.9913817131 [0.990204725590-0.992558700644]
2,1,0,-2,-1,1,2,3,2,5,2,-2,-1,2,0.9913817131 [0.990204725590-0.992558700644]
2,1,0,-2,-1,0,2,3,2,4,2,-2,-1,3,0.9924603564 [0.991284830387-0.993635882482]
2,1,0,-2,-1,1,2,3,2,4,2,-2,-1,3,0.9924603564 [0.991284830387-0.993635882482]
2,1,0,-2,-1,0,1,3,2,5,2,-2,-1,2,0.9913817131 [0.990204725590-0.992558700644]
2,1,0,-2,-1,0,1,3,2,4,2,-2,-1,3,0.9924603564 [0.991284830387-0.993635882482]
2,1,0,-1,0,1,3,4,3,6,1,-1,0,1,0.9893792550 [0.988311249134-0.990447260795]
2,1,0,-1,0,1,3,5,3,6,1,-1,0,1,0.9893748742 [0.988306864944-0.990442883466]
2,1,0,-1,0,1,3,5,4,6,1,-1,0,1,0.9870763348 [0.985617488882-0.988535180653]
2,1,0,-1,0,2,3,4,3,6,1,-1,0,1,0.9893792550 [0.988311249134-0.990447260795]
2,1,0,-1,0,2,3,5,3,6,1,-1,0,1,0.9893748742 [0.988306864944-0.990442883466]
2,1,0,-1,0,2,3,5,4,6,1,-1,0,1,0.9870763348 [0.985617488882-0.988535180653]
2,1,0,-1,0,1,2,4,2,6,1,-1,0,1,0.9878639264 [0.986967489863-0.988760363003]
2,1,0,-1,0,1,2,5,2,6,1,-1,0,1,0.9878622902 [0.986965849571-0.988758730885]
2,1,0,-1,0,1,2,4,3,6,1,-1,0,1,0.9893792550 [0.988311249134-0.990447260795]
2,1,0,-1,0,1,2,5,3,6,1,-1,0,1,0.9893748742 [0.988306864944-0.990442883466]
2,1,0,-1,0,1,2,5,4,6,1,-1,0,1,0.9870763348 [0.985617488882-0.988535180653]
2,1,0,-1,0,1,4,5,4,6,1,-1,0,1,0.9870763348 [0.985617488882-0.988535180653]
2,1,0,-1,0,2,4,5,4,6,1,-1,0,1,0.9870763348 [0.985617488882-0.988535180653]
2,1,0,-1,0,3,4,5,4,6,1,-1,0,1,0.9870763348 [0.985617488882-0.988535180653]
2,1,0,-1,0,1,3,4,3,6,2,-2,0,1,0.9941819162 [0.993464856849-0.994898975478]
2,1,0,-1,0,1,3,5,3,6,2,-2,0,1,0.9941763144 [0.993459225921-0.994893402877]
2,1,0,-1,0,1,3,4,3,6,3,-3,0,1,0.9926495526 [0.991537210216-0.993761894989]
2,1,0,-1,0,1,3,5,3,6,3,-3,0,1,0.9926437078 [0.991531350670-0.993756064966]
2,1,0,-1,0,1,3,5,4,6,2,-2,0,1,0.9961000724 [0.995613026179-0.996587118560]
2,1,0,-1,0,1,3,5,4,6,3,-3,0,1,0.9956716459 [0.994969521309-0.996373770507]
2,1,0,-2,0,1,3,4,3,6,2,-2,0,1,0.9941819162 [0.993464856849-0.994898975478]
2,1,0,-2,0,1,3,4,3,6,3,-3,0,1,0.9926495526 [0.991537210216-0.993761894989]
2,1,0,-3,0,1,3,4,3,6,3,-3,0,1,0.9926495526 [0.991537210216-0.993761894989]
2,1,0,-2,-1,1,3,4,3,6,2,-2,0,1,0.9941819162 [0.993464856849-0.994898975478]
2,1,0,-2,-1,1,3,4,3,6,3,-3,0,1,0.9926495526 [0.991537210216-0.993761894989]
2,1,0,-3,-1,1,3,4,3,6,3,-3,0,1,0.9926495526 [0.991537210216-0.993761894989]
2,1,0,-3,-2,1,3,4,3,6,3,-3,0,1,0.9926495526 [0.991537210216-0.993761894989]
2,1,0,-2,-1,0,3,4,3,6,2,-2,0,1,0.9941819162 [0.993464856849-0.994898975478]
2,1,0,-2,-1,0,3,4,3,6,3,-3,0,1,0.9926495526 [0.991537210216-0.993761894989]
2,1,0,-3,-1,0,3,4,3,6,3,-3,0,1,0.9926495526 [0.991537210216-0.993761894989]
2,1,0,-3,-2,0,3,4,3,6,3,-3,0,1,0.9926495526 [0.991537210216-0.993761894989]
2,1,0,-1,0,2,3,4,3,6,2,-2,0,1,0.9941819162 [0.993464856849-0.994898975478]
2,1,0,-1,0,2,3,4,3,6,3,-3,0,1,0.9926495526 [0.991537210216-0.993761894989]
2,1,0,-2,0,2,3,4,3,6,2,-2,0,1,0.9941819162 [0.993464856849-0.994898975478]
2,1,0,-2,0,2,3,4,3,6,3,-3,0,1,0.9926495526 [0.991537210216-0.993761894989]
2,1,0,-3,0,2,3,4,3,6,3,-3,0,1,0.9926495526 [0.991537210216-0.993761894989]
2,1,0,-2,-1,2,3,4,3,6,2,-2,0,1,0.9941819162 [0.993464856849-0.994898975478]
2,1,0,-2,-1,2,3,4,3,6,3,-3,0,1,0.9926495526 [0.991537210216-0.993761894989]
2,1,0,-3,-1,2,3,4,3,6,3,-3,0,1,0.9926495526 [0.991537210216-0.993761894989]
2,1,0,-3,-2,2,3,4,3,6,3,-3,0,1,0.9926495526 [0.991537210216-0.993761894989]
2,1,0,-1,0,1,2,4,3,6,2,-2,0,1,0.9941819162 [0.993464856849-0.994898975478]
2,1,0,-1,0,1,5,6,5,7,2,-2,-1,0,0.9870763348 [0.985617488882-0.988535180653]
2,1,0,-2,0,1,5,6,5,7,2,-2,-1,0,0.9870763348 [0.985617488882-0.988535180653]
2,1,0,-1,0,1,4,5,4,6,2,-2,0,1,0.9961000724 [0.995613026179-0.996587118560]
2,1,0,-2,0,1,4,5,4,6,2,-2,0,1,0.9961000724 [0.995613026179-0.996587118560]
2,1,0,-2,-1,1,4,5,4,6,2,-2,0,1,0.9961000724 [0.995613026179-0.996587118560]
2,1,0,-2,-1,0,4,5,4,6,2,-2,0,1,0.9961000724 [0.995613026179-0.996587118560]
2,1,0,-2,0,1,3,5,4,6,2,-2,0,1,0.9961000724 [0.995613026179-0.996587118560]
2,1,0,-1,0,1,2,5,4,6,2,-2,0,1,0.9961000724 [0.995613026179-0.996587118560]
2,1,0,-2,0,1,2,5,4,6,2,-2,0,1,0.9961000724 [0.995613026179-0.996587118560]
2,1,0,-2,-1,1,2,5,4,6,2,-2,0,1,0.9961000724 [0.995613026179-0.996587118560]
2,1,0,-2,-1,0,2,5,4,6,2,-2,0,1,0.9961000724 [0.995613026179-0.996587118560]
2,1,0,-2,-1,0,1,5,4,6,2,-2,0,1,0.9961000724 [0.995613026179-0.996587118560]
2,1,0,-2,-1,1,3,5,4,6,2,-2,0,1,0.9961000724 [0.995613026179-0.996587118560]
2,1,0,-2,-1,0,3,5,4,6,2,-2,0,1,0.9961000724 [0.995613026179-0.996587118560]
2,1,0,-1,0,1,2,5,3,6,2,-2,0,1,0.9941763144 [0.993459225921-0.994893402877]
2,1,0,-1,0,1,2,6,5,7,2,-2,-1,0,0.9870763348 [0.985617488882-0.988535180653]
