index,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,variance,AUC,
2418,3,2,0,-1,0,3,4,5,4,6,4,-4,-1,0,7.454081633,0.993415894,[0.992361736941-0.994470051588]
4746,3,2,0,-2,0,3,4,5,4,6,4,-4,-1,0,7.918367347,0.993415894,[0.992361736941-0.994470051588]
4750,3,2,0,-3,0,3,4,5,4,6,4,-4,-1,0,8.515306122,0.993415894,[0.992361736941-0.994470051588]
4754,3,2,0,-4,0,3,4,5,4,6,4,-4,-1,0,9.244897959,0.993415894,[0.992361736941-0.994470051588]
4816,3,2,0,-2,-1,3,4,5,4,6,4,-4,-1,0,8.229591837,0.993415894,[0.992361736941-0.994470051588]
4822,3,2,0,-3,-1,3,4,5,4,6,4,-4,-1,0,8.816326531,0.993415894,[0.992361736941-0.994470051588]
4824,3,2,0,-4,-1,3,4,5,4,6,4,-4,-1,0,9.535714286,0.993415894,[0.992361736941-0.994470051588]
4842,3,2,0,-3,-2,3,4,5,4,6,4,-4,-1,0,9.25,0.993415894,[0.992361736941-0.994470051588]
4843,3,2,0,-4,-2,3,4,5,4,6,4,-4,-1,0,9.959183673,0.993415894,[0.992361736941-0.994470051588]
4844,3,2,0,-4,-3,3,4,5,4,6,4,-4,-1,0,10.51530612,0.993415894,[0.992361736941-0.994470051588]
2378,2,1,0,-1,0,4,5,6,5,7,5,-5,-1,0,10.85714286,0.993378797,[0.992222271325-0.994535322243]
4169,2,1,0,-2,0,4,5,6,5,7,5,-5,-1,0,11.35204082,0.993378797,[0.992222271325-0.994535322243]
4179,2,1,0,-3,0,4,5,6,5,7,5,-5,-1,0,11.97959184,0.993378797,[0.992222271325-0.994535322243]
4180,2,1,0,-4,0,4,5,6,5,7,5,-5,-1,0,12.73979592,0.993378797,[0.992222271325-0.994535322243]
4181,2,1,0,-5,0,4,5,6,5,7,5,-5,-1,0,13.63265306,0.993378797,[0.992222271325-0.994535322243]
4534,2,1,0,-2,-1,4,5,6,5,7,5,-5,-1,0,11.69387755,0.993378797,[0.992222271325-0.994535322243]
4544,2,1,0,-3,-1,4,5,6,5,7,5,-5,-1,0,12.31122449,0.993378797,[0.992222271325-0.994535322243]
4545,2,1,0,-4,-1,4,5,6,5,7,5,-5,-1,0,13.06122449,0.993378797,[0.992222271325-0.994535322243]
4546,2,1,0,-5,-1,4,5,6,5,7,5,-5,-1,0,13.94387755,0.993378797,[0.992222271325-0.994535322243]
4565,2,1,0,-3,-2,4,5,6,5,7,5,-5,-1,0,12.7755102,0.993378797,[0.992222271325-0.994535322243]
4566,2,1,0,-4,-2,4,5,6,5,7,5,-5,-1,0,13.51530612,0.993378797,[0.992222271325-0.994535322243]
4567,2,1,0,-5,-2,4,5,6,5,7,5,-5,-1,0,14.3877551,0.993378797,[0.992222271325-0.994535322243]
4577,2,1,0,-4,-3,4,5,6,5,7,5,-5,-1,0,14.10204082,0.993378797,[0.992222271325-0.994535322243]
4578,2,1,0,-5,-3,4,5,6,5,7,5,-5,-1,0,14.96428571,0.993378797,[0.992222271325-0.994535322243]
4585,2,1,0,-5,-4,4,5,6,5,7,5,-5,-1,0,15.67346939,0.993378797,[0.992222271325-0.994535322243]
2420,3,2,0,-1,0,3,4,5,4,6,4,-4,-2,0,7.918367347,0.993371237,[0.992315257926-0.994427216242]
4758,3,2,0,-2,0,3,4,5,4,6,4,-4,-2,0,8.37244898,0.993371237,[0.992315257926-0.994427216242]
4762,3,2,0,-3,0,3,4,5,4,6,4,-4,-2,0,8.959183673,0.993371237,[0.992315257926-0.994427216242]
4766,3,2,0,-4,0,3,4,5,4,6,4,-4,-2,0,9.678571429,0.993371237,[0.992315257926-0.994427216242]
4818,3,2,0,-2,-1,3,4,5,4,6,4,-4,-2,0,8.673469388,0.993371237,[0.992315257926-0.994427216242]
4826,3,2,0,-3,-1,3,4,5,4,6,4,-4,-2,0,9.25,0.993371237,[0.992315257926-0.994427216242]
4828,3,2,0,-4,-1,3,4,5,4,6,4,-4,-2,0,9.959183673,0.993371237,[0.992315257926-0.994427216242]
4845,3,2,0,-3,-2,3,4,5,4,6,4,-4,-2,0,9.673469388,0.993371237,[0.992315257926-0.994427216242]
4847,3,2,0,-4,-2,3,4,5,4,6,4,-4,-2,0,10.37244898,0.993371237,[0.992315257926-0.994427216242]
4849,3,2,0,-4,-3,3,4,5,4,6,4,-4,-2,0,10.91836735,0.993371237,[0.992315257926-0.994427216242]
2380,2,1,0,-1,0,4,5,6,5,7,5,-5,-2,0,11.35204082,0.993364326,[0.992207673629-0.994520978886]
4170,2,1,0,-2,0,4,5,6,5,7,5,-5,-2,0,11.83673469,0.993364326,[0.992207673629-0.994520978886]
4182,2,1,0,-3,0,4,5,6,5,7,5,-5,-2,0,12.45408163,0.993364326,[0.992207673629-0.994520978886]
4183,2,1,0,-4,0,4,5,6,5,7,5,-5,-2,0,13.20408163,0.993364326,[0.992207673629-0.994520978886]
4184,2,1,0,-5,0,4,5,6,5,7,5,-5,-2,0,14.08673469,0.993364326,[0.992207673629-0.994520978886]
4535,2,1,0,-2,-1,4,5,6,5,7,5,-5,-2,0,12.16836735,0.993364326,[0.992207673629-0.994520978886]
4547,2,1,0,-3,-1,4,5,6,5,7,5,-5,-2,0,12.7755102,0.993364326,[0.992207673629-0.994520978886]
4548,2,1,0,-4,-1,4,5,6,5,7,5,-5,-2,0,13.51530612,0.993364326,[0.992207673629-0.994520978886]
4549,2,1,0,-5,-1,4,5,6,5,7,5,-5,-2,0,14.3877551,0.993364326,[0.992207673629-0.994520978886]
4568,2,1,0,-3,-2,4,5,6,5,7,5,-5,-2,0,13.22959184,0.993364326,[0.992207673629-0.994520978886]
4569,2,1,0,-4,-2,4,5,6,5,7,5,-5,-2,0,13.95918367,0.993364326,[0.992207673629-0.994520978886]
4570,2,1,0,-5,-2,4,5,6,5,7,5,-5,-2,0,14.82142857,0.993364326,[0.992207673629-0.994520978886]
4579,2,1,0,-4,-3,4,5,6,5,7,5,-5,-2,0,14.53571429,0.993364326,[0.992207673629-0.994520978886]
4580,2,1,0,-5,-3,4,5,6,5,7,5,-5,-2,0,15.3877551,0.993364326,[0.992207673629-0.994520978886]
4586,2,1,0,-5,-4,4,5,6,5,7,5,-5,-2,0,16.08673469,0.993364326,[0.992207673629-0.994520978886]
