Candidate	Score
Solution 1	0.9956175437 [0.994890441736-0.996344645643]
Solution 2	0.9958011860 [0.995075369386-0.996527002539]
Solution 3	0.9958000136 [0.995074143496-0.996525883700]
Solution 4	0.9956177531 [0.994890512198-0.996344994100]
Solution 5	0.9956169112 [0.994889634227-0.996344188259]
Solution 6	0.9956260858 [0.994899004321-0.996353167242]
Solution 7	0.9958014391 [0.995075627123-0.996527251166]
Solution 8	0.9956244681 [0.994897323248-0.996351612874]
Solution 9	0.9956267020 [0.994899632958-0.996353770961]
Solution 10	0.9958037046 [0.995077847037-0.996529562089]
Solution 11	0.9958059385 [0.995080157012-0.996531719909]
Solution 12	0.9958003491 [0.995074486101-0.996526212179]
Solution 13	0.9958014391 [0.995075627123-0.996527251166]
Solution 14	0.9934108857 [0.992495508004-0.994326263345]
Solution 15	0.9944142261 [0.993507881536-0.995320570749]
Solution 16	0.9958014391 [0.995075627123-0.996527251166]
Solution 17	0.9958037046 [0.995077847037-0.996529562089]
Solution 18	0.9958037046 [0.995077847037-0.996529562089]
Solution 19	0.9958059385 [0.995080157012-0.996531719909]
Solution 20	0.9958003491 [0.995074486101-0.996526212179]
Solution 21	0.9958003491 [0.995074486101-0.996526212179]
Solution 22	0.9958059385 [0.995080157012-0.996531719909]
Solution 23	0.9958003491 [0.995074486101-0.996526212179]
Solution 24	0.9958003491 [0.995074486101-0.996526212179]
Solution 25	0.9958003491 [0.995074486101-0.996526212179]
Solution 26	0.9934091002 [0.992493666492-0.994324533874]
Solution 27	0.9934109152 [0.992495532082-0.994326298241]
Solution 28	0.9934065673 [0.992491110407-0.994322024288]
Solution 29	0.9934065673 [0.992491110407-0.994322024288]
Solution 30	0.9934065673 [0.992491110407-0.994322024288]
Solution 31	0.9944162567 [0.993509873289-0.995322640073]
Solution 32	0.9944184906 [0.993512166569-0.995324814590]
Solution 33	0.9944132734 [0.993506890779-0.995319656032]
Solution 34	0.9944132734 [0.993506890779-0.995319656032]
Solution 35	0.9944132734 [0.993506890779-0.995319656032]
Solution 36	0.9953669841 [0.994636218563-0.996097749685]
Solution 37	0.9949797460 [0.994240028352-0.995719463646]
Solution 38	0.9955725556 [0.994844557922-0.996300553294]
Solution 39	0.9954403906 [0.994708186073-0.996172595128]
Solution 40	0.9955725556 [0.994844557922-0.996300553294]
Solution 41	0.9955725556 [0.994844557922-0.996300553294]
Solution 42	0.9941775723 [0.993269559144-0.995085585377]
Solution 43	0.9954403906 [0.994708186073-0.996172595128]
Solution 44	0.9954403906 [0.994708186073-0.996172595128]
Solution 45	0.9953671244 [0.994636232309-0.996098016574]
Solution 46	0.9953754571 [0.994644725477-0.996106188671]
Solution 47	0.9952451833 [0.994512946713-0.995977419895]
Solution 48	0.9949801212 [0.994240279881-0.995719962510]
Solution 49	0.9949884538 [0.994248768334-0.995728139323]
Solution 50	0.9948659504 [0.994124906917-0.995606993890]
Solution 51	0.9944908935 [0.993739227349-0.995242559609]
Solution 52	0.9955752298 [0.994847138973-0.996303320583]
Solution 53	0.9955835624 [0.994855631714-0.996311493107]
Solution 54	0.9953425872 [0.994611454769-0.996073719535]
Solution 55	0.9957410060 [0.995014226191-0.996467785712]
Solution 56	0.9955328254 [0.994804289061-0.996261361683]
Solution 57	0.9954491086 [0.994716923146-0.996181294050]
Solution 58	0.9954574412 [0.994725413529-0.996189468932]
Solution 59	0.9952242363 [0.994489098782-0.995959373851]
Solution 60	0.9956190231 [0.994888070424-0.996349975827]
Solution 61	0.9954186129 [0.994686043218-0.996151182564]
Solution 62	0.9948893052 [0.994147098671-0.995631511651]
Solution 63	0.9953408739 [0.994605947766-0.996075799940]
Solution 64	0.9955752298 [0.994847138973-0.996303320583]
Solution 65	0.9955752298 [0.994847138973-0.996303320583]
Solution 66	0.9941800116 [0.993271920321-0.995088102781]
Solution 67	0.9955835624 [0.994855631714-0.996311493107]
Solution 68	0.9953425872 [0.994611454769-0.996073719535]
Solution 69	0.9957410060 [0.995014226191-0.996467785712]
Solution 70	0.9957410060 [0.995014226191-0.996467785712]
Solution 71	0.9955328254 [0.994804289061-0.996261361683]
Solution 72	0.9955328254 [0.994804289061-0.996261361683]
Solution 73	0.9955835624 [0.994855631714-0.996311493107]
Solution 74	0.9953425872 [0.994611454769-0.996073719535]
Solution 75	0.9957410060 [0.995014226191-0.996467785712]
Solution 76	0.9957410060 [0.995014226191-0.996467785712]
Solution 77	0.9955328254 [0.994804289061-0.996261361683]
Solution 78	0.9955328254 [0.994804289061-0.996261361683]
Solution 79	0.9957410060 [0.995014226191-0.996467785712]
Solution 80	0.9955328254 [0.994804289061-0.996261361683]
Solution 81	0.9941883442 [0.993280375546-0.995096312822]
Solution 82	0.9939806151 [0.993070593769-0.994890636353]
Solution 83	0.9943461599 [0.993439026112-0.995253293631]
Solution 84	0.9943461599 [0.993439026112-0.995253293631]
Solution 85	0.9941712254 [0.993263163657-0.995079287200]
Solution 86	0.9941712254 [0.993263163657-0.995079287200]
Solution 87	0.9943461599 [0.993439026112-0.995253293631]
Solution 88	0.9941712254 [0.993263163657-0.995079287200]
Solution 89	0.9954491086 [0.994716923146-0.996181294050]
Solution 90	0.9954491086 [0.994716923146-0.996181294050]
Solution 91	0.9954574412 [0.994725413529-0.996189468932]
Solution 92	0.9952242363 [0.994489098782-0.995959373851]
Solution 93	0.9956190231 [0.994888070424-0.996349975827]
Solution 94	0.9956190231 [0.994888070424-0.996349975827]
Solution 95	0.9954186129 [0.994686043218-0.996151182564]
Solution 96	0.9954186129 [0.994686043218-0.996151182564]
Solution 97	0.9948893052 [0.994147098671-0.995631511651]
Solution 98	0.9953408739 [0.994605947766-0.996075799940]
Solution 99	0.9953408739 [0.994605947766-0.996075799940]
Solution 100	0.9954574412 [0.994725413529-0.996189468932]
Solution 101	0.9952242363 [0.994489098782-0.995959373851]
Solution 102	0.9956190231 [0.994888070424-0.996349975827]
Solution 103	0.9956190231 [0.994888070424-0.996349975827]
Solution 104	0.9954186129 [0.994686043218-0.996151182564]
Solution 105	0.9954186129 [0.994686043218-0.996151182564]
Solution 106	0.9948893052 [0.994147098671-0.995631511651]
Solution 107	0.9953408739 [0.994605947766-0.996075799940]
Solution 108	0.9953408739 [0.994605947766-0.996075799940]
Solution 109	0.9956190231 [0.994888070424-0.996349975827]
Solution 110	0.9954186129 [0.994686043218-0.996151182564]
Solution 111	0.9953408739 [0.994605947766-0.996075799940]
Solution 112	0.9958011860 [0.995075369386-0.996527002539]
Solution 113	0.9958011860 [0.995075369386-0.996527002539]
Solution 114	0.9958011860 [0.995075369386-0.996527002539]
Solution 115	0.9944139730 [0.993507624860-0.995320321061]
Solution 116	0.9934108013 [0.992495421624-0.994326180938]
Solution 117	0.9958036354 [0.995077775487-0.996529495355]
Solution 118	0.9958058693 [0.995080085547-0.996531653091]
Solution 119	0.9958002647 [0.995074399076-0.996526130417]
Solution 120	0.9958000136 [0.995074143496-0.996525883700]
Solution 121	0.9958036354 [0.995077775487-0.996529495355]
Solution 122	0.9958036354 [0.995077775487-0.996529495355]
Solution 123	0.9944161875 [0.993509802266-0.995322572812]
Solution 124	0.9934090432 [0.992493607933-0.994324478553]
Solution 125	0.9958058693 [0.995080085547-0.996531653091]
Solution 126	0.9958002647 [0.995074399076-0.996526130417]
Solution 127	0.9958002647 [0.995074399076-0.996526130417]
Solution 128	0.9958000136 [0.995074143496-0.996525883700]
Solution 129	0.9958000136 [0.995074143496-0.996525883700]
Solution 130	0.9958058693 [0.995080085547-0.996531653091]
Solution 131	0.9958002647 [0.995074399076-0.996526130417]
Solution 132	0.9958002647 [0.995074399076-0.996526130417]
Solution 133	0.9958000136 [0.995074143496-0.996525883700]
Solution 134	0.9958000136 [0.995074143496-0.996525883700]
Solution 135	0.9958002647 [0.995074399076-0.996526130417]
Solution 136	0.9958000136 [0.995074143496-0.996525883700]
Solution 137	0.9944184214 [0.993512095614-0.995324747261]
Solution 138	0.9944131890 [0.993506804336-0.995319573687]
Solution 139	0.9944131890 [0.993506804336-0.995319573687]
Solution 140	0.9944129379 [0.993506549793-0.995319325934]
Solution 141	0.9944129379 [0.993506549793-0.995319325934]
Solution 142	0.9944131890 [0.993506804336-0.995319573687]
Solution 143	0.9944129379 [0.993506549793-0.995319325934]
Solution 144	0.9934108582 [0.992495473584-0.994326242858]
Solution 145	0.9934064952 [0.992491036362-0.994321953949]
Solution 146	0.9934064952 [0.992491036362-0.994321953949]
Solution 147	0.9934064128 [0.992490952048-0.994321873542]
Solution 148	0.9934064128 [0.992490952048-0.994321873542]
Solution 149	0.9934064952 [0.992491036362-0.994321953949]
Solution 150	0.9934064128 [0.992490952048-0.994321873542]
Solution 151	0.9955685372 [0.994840505733-0.996296568738]
Solution 152	0.9954361373 [0.994703898195-0.996168376501]
Solution 153	0.9955685372 [0.994840505733-0.996296568738]
Solution 154	0.9955685372 [0.994840505733-0.996296568738]
Solution 155	0.9941735539 [0.993265516013-0.995081591764]
Solution 156	0.9954361373 [0.994703898195-0.996168376501]
Solution 157	0.9954361373 [0.994703898195-0.996168376501]
