Candidate	Score
Solution 1	0.9955465938 [0.994818316113-0.996274871466]
Solution 2	0.9957836768 [0.995057677965-0.996509675550]
Solution 3	0.9957798607 [0.995053704226-0.996506017228]
Solution 4	0.9955470127 [0.994818752190-0.996275273228]
Solution 5	0.9955470127 [0.994818752190-0.996275273228]
Solution 6	0.9956267223 [0.994899797666-0.996353646924]
Solution 7	0.9957880602 [0.995062094601-0.996514025719]
Solution 8	0.9956267223 [0.994899797666-0.996353646924]
Solution 9	0.9956287467 [0.994901753245-0.996355740221]
Solution 10	0.9957880602 [0.995062094601-0.996514025719]
Solution 11	0.9958041001 [0.995078375862-0.996529824330]
Solution 12	0.9957845156 [0.995058397213-0.996510634014]
Solution 13	0.9957880602 [0.995062094601-0.996514025719]
Solution 14	0.9934035403 [0.992488154014-0.994318926685]
Solution 15	0.9944068910 [0.993500565021-0.995313216949]
Solution 16	0.9957880602 [0.995062094601-0.996514025719]
Solution 17	0.9957880602 [0.995062094601-0.996514025719]
Solution 18	0.9957880602 [0.995062094601-0.996514025719]
Solution 19	0.9958041001 [0.995078375862-0.996529824330]
Solution 20	0.9957845156 [0.995058397213-0.996510634014]
Solution 21	0.9957845156 [0.995058397213-0.996510634014]
Solution 22	0.9958041001 [0.995078375862-0.996529824330]
Solution 23	0.9957845156 [0.995058397213-0.996510634014]
Solution 24	0.9957845156 [0.995058397213-0.996510634014]
Solution 25	0.9957845156 [0.995058397213-0.996510634014]
Solution 26	0.9934035403 [0.992488154014-0.994318926685]
Solution 27	0.9934131277 [0.992497809417-0.994328445997]
Solution 28	0.9933992444 [0.992483779049-0.994314709736]
Solution 29	0.9933992444 [0.992483779049-0.994314709736]
Solution 30	0.9933992444 [0.992483779049-0.994314709736]
Solution 31	0.9944068910 [0.993500565021-0.995313216949]
Solution 32	0.9944168871 [0.993510610950-0.995323163238]
Solution 33	0.9944034837 [0.993497039855-0.995309927558]
Solution 34	0.9944034837 [0.993497039855-0.995309927558]
Solution 35	0.9944034837 [0.993497039855-0.995309927558]
Solution 36	0.9953077630 [0.994576066074-0.996039459827]
Solution 37	0.9949144383 [0.994173711814-0.995655164771]
Solution 38	0.9955018955 [0.994772724314-0.996231066675]
Solution 39	0.9953657630 [0.994632214026-0.996099311881]
Solution 40	0.9955018955 [0.994772724314-0.996231066675]
Solution 41	0.9955018955 [0.994772724314-0.996231066675]
Solution 42	0.9941129560 [0.993204180797-0.995021731152]
Solution 43	0.9953657630 [0.994632214026-0.996099311881]
Solution 44	0.9953657630 [0.994632214026-0.996099311881]
Solution 45	0.9953081819 [0.994576502105-0.996039861635]
Solution 46	0.9953761627 [0.994645575928-0.996106749531]
Solution 47	0.9951860313 [0.994452850971-0.995919211575]
Solution 48	0.9949148572 [0.994174147536-0.995655566887]
Solution 49	0.9949889246 [0.994249380579-0.995728468630]
Solution 50	0.9948065635 [0.994064599217-0.995548527768]
Solution 51	0.9944254200 [0.993672755441-0.995178084629]
Solution 52	0.9955023144 [0.994773160358-0.996231468469]
Solution 53	0.9955817342 [0.994853914407-0.996309554021]
Solution 54	0.9952834778 [0.994551423023-0.996015532629]
Solution 55	0.9957277592 [0.995000835406-0.996454682895]
Solution 56	0.9954648028 [0.994735107139-0.996194498509]
Solution 57	0.9953661819 [0.994632649934-0.996099713812]
Solution 58	0.9954495692 [0.994717539973-0.996181598439]
Solution 59	0.9951590832 [0.994422923491-0.995895242835]
Solution 60	0.9956018515 [0.994870562114-0.996333140880]
Solution 61	0.9953466655 [0.994612754284-0.996080576747]
Solution 62	0.9948201845 [0.994076849806-0.995563519143]
